compressed_route,count,probability,n_stages,start_state,end_state,miss_count,control_count,other_count,miss_rate
16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid,11,0.004,2,16-31|lower_edge_front|avoid_then_caught,8-15|near_exit_front|avoid,0,0,11,0.0
64-127|lower_edge_front|avoid_then_caught -> 32-63|near_exit_front|avoid -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,10,0.0036363636363636364,5,64-127|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,5,0,5,1.0
64-127|lower_edge_front|caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,10,0.0036363636363636364,5,64-127|lower_edge_front|caught,4-7|lower_edge_front|avoid_then_caught,0,0,10,0.0
128-255|lower_edge_front|avoid_then_caught -> 64-127|near_exit_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,8,0.002909090909090909,6,128-255|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,2,0,6,1.0
16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,8,0.002909090909090909,3,16-31|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,8,0.0
16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid_then_caught,8,0.002909090909090909,2,16-31|near_exit_front|avoid,8-15|lower_edge_front|avoid_then_caught,0,0,8,0.0
16-31|near_exit_front|avoid -> 8-15|near_exit_front|avoid,8,0.002909090909090909,2,16-31|near_exit_front|avoid,8-15|near_exit_front|avoid,0,0,8,0.0
128-255|lower_edge_front|avoid_then_caught -> 64-127|near_exit_front|avoid -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,7,0.0025454545454545456,6,128-255|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,7,0,0,1.0
32-63|near_exit_front|avoid -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid_then_caught,7,0.0025454545454545456,3,32-63|near_exit_front|avoid,8-15|lower_edge_front|avoid_then_caught,1,0,6,1.0
16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid_then_caught,7,0.0025454545454545456,2,16-31|lower_edge_front|avoid_then_caught,8-15|lower_edge_front|avoid_then_caught,0,0,7,0.0
32-63|lower_edge_front|caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,7,0.0025454545454545456,4,32-63|lower_edge_front|caught,4-7|lower_edge_front|caught,0,0,7,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|near_exit_front|avoid -> 4-7|lower_edge_front|caught,7,0.0025454545454545456,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,0,7,0.0
64-127|lower_edge_front|caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,7,0.0025454545454545456,5,64-127|lower_edge_front|caught,4-7|lower_edge_front|avoid_then_caught,0,0,7,0.0
64-127|near_exit_front|avoid -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,6,0.002181818181818182,5,64-127|near_exit_front|avoid,4-7|lower_edge_front|avoid_then_caught,6,0,0,1.0
64-127|lower_edge_front|avoid_then_caught -> 32-63|near_exit_front|avoid -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid,6,0.002181818181818182,4,64-127|lower_edge_front|avoid_then_caught,8-15|near_exit_front|avoid,4,0,2,1.0
64-127|near_exit_front|caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,6,0.002181818181818182,5,64-127|near_exit_front|caught,4-7|lower_edge_front|caught,1,0,5,1.0
128-255|lower_edge_front|caught -> 64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,6,0.002181818181818182,6,128-255|lower_edge_front|caught,4-7|lower_edge_front|avoid_then_caught,0,1,5,0.0
32-63|lower_edge_front|caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,6,0.002181818181818182,4,32-63|lower_edge_front|caught,4-7|lower_edge_front|caught,0,0,6,0.0
16-31|near_exit_front|avoid -> 8-15|near_exit_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,6,0.002181818181818182,3,16-31|near_exit_front|avoid,4-7|lower_edge_front|avoid_then_caught,0,0,6,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|near_exit_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,6,0.002181818181818182,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,6,0.0
64-127|lower_edge_front|caught -> 32-63|near_exit_front|avoid -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,5,0.0018181818181818182,5,64-127|lower_edge_front|caught,4-7|lower_edge_front|avoid_then_caught,3,0,2,1.0
128-255|near_exit_front|caught -> 64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,5,0.0018181818181818182,6,128-255|near_exit_front|caught,4-7|lower_edge_front|caught,3,0,2,1.0
64-127|near_exit_front|avoid_then_caught -> 32-63|near_exit_front|avoid -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,5,0.0018181818181818182,5,64-127|near_exit_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,1,0,4,1.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|deeper_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,5,0.0018181818181818182,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,5,0.0
